City,Listing_Language,URL-Validated,URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerusalem,Hebrew,2025-02-06T00:22:00Z,https://www.jerusalem.muni.il/he/residents/security/shelters/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tel Aviv,Hebrew,2025-02-06T00:22:00Z,https://www.tel-aviv.gov.il/About/Pages/CityPreparations.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rishon LeTzion,Hebrew,2025-02-06T00:22:00Z,https://www.rishonlezion.muni.il/Residents/SecurityEmergency/pages/publicshelter.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginot Hair,Hebrew,2025-02-06T00:22:00Z,https://www.ginothair.org.il/index.php?dir=site&page=articles&op=item&cs=2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beit Shean,Hebrew,2025-02-06T00:22:00Z,https://bet-shean.org.il/%D7%9E%D7%97%D7%9C%D7%A7%D7%AA-%D7%94%D7%91%D7%99%D7%98%D7%97%D7%95%D7%9F/%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D-%D7%95%D7%97%D7%A0%D7%99%D7%95%D7%A0%D7%99%D7%9D/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petakh Tikva,Hebrew,2025-02-06T00:22:00Z,https://www.petah-tikva.muni.il/Emergency/Pages/Receivers.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rehovot,Hebrew,2025-02-06T00:22:00Z,https://www.rehovot.muni.il/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pardes Hanna,Hebrew,2025-02-06T00:22:00Z,https://www.pardes-hanna-karkur.muni.il/30/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afula,Hebrew,2025-02-06T00:22:00Z,https://www.afula.muni.il/uploads/n/1533449102.3068.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramle,Hebrew,2025-02-06T00:22:00Z,https://ramle.org.il/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%94%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%94%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramle,Ramle
Haifa,Hebrew,2025-02-06T00:22:00Z,https://www.haifa.muni.il/operation/security-and-emergency/safe-place/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haifa,English,2025-02-06T00:22:00Z,https://www.haifa.muni.il/wp-content/uploads/2024/10/Miklatim-in-English.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haifa,Russian,2025-02-06T00:22:00Z,https://www.haifa.muni.il/wp-content/uploads/2024/01/%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%91%D7%A8%D7%95%D7%A1%D7%99%D7%AA.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haifa,Arabic,2025-02-06T00:22:00Z,https://www.haifa.muni.il/wp-content/uploads/2023/10/%D9%82%D8%A7%D8%A6%D9%85%D8%A9-%D8%A7%D9%84%D9%85%D9%84%D8%A7%D8%AC%D8%A6-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9-%D9%81%D9%8A-%D8%AD%D9%8A%D9%81%D8%A7.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modiin,Hebrew,2025-02-06T00:22:00Z,https://www.modiin-region.muni.il/77/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramat HaSharon,Hebrew,2025-02-06T00:22:00Z,https://ramat-hasharon.muni.il/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D-%D7%A4%D7%AA%D7%95%D7%97%D7%99%D7%9D/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mevaseret Tsion,Hebrew,2025-02-06T00:22:00Z,https://www.m-zion.org.il/%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D-%D7%96%D7%9E%D7%99%D7%A0%D7%99%D7%9D-%D7%9C%D7%A9%D7%99%D7%9E%D7%95%D7%A9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranaana,Hebrew,2025-02-06T00:22:00Z,https://www.raanana.muni.il/SafetyAndEmergency/pages/publicshelters.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Givatayim,Hebrew,2025-02-06T00:22:00Z,https://www.givatayim.muni.il/266/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netanya,Hebrew,2025-02-06T00:22:00Z,https://www.netanya.muni.il/City/SecurityAndEmergency/DS/shelters/Pages/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yavne,Hebrew,2025-02-06T00:22:00Z,https://www.yavne.muni.il/%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D-%D7%91%D7%99%D7%91%D7%A0%D7%94/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kfar Saba,Hebrew,2025-02-06T00:22:00Z,https://kfar-saba.muni.il/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A2%D7%99%D7%A8%D7%95%D7%A0%D7%99%D7%99%D7%9D-%D7%91%D7%9B%D7%A4%D7%A8-%D7%A1%D7%91%D7%90/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofakim,Hebrew,2025-02-06T00:22:00Z,https://www.ofaqim.muni.il/%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D-%D7%91%D7%90%D7%97%D7%A8%D7%99%D7%95%D7%AA-%D7%94%D7%A8%D7%A9%D7%95%D7%AA/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herzlia,Hebrew,2025-02-06T00:22:00Z,https://www.herzliya.muni.il/%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D-%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%99%D7%9D/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat Yam,Hebrew,2025-02-06T00:22:00Z,https://www.bat-yam.muni.il/he/148/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netivot,Hebrew,2025-02-06T00:22:00Z,https://www.netivot.muni.il/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9E%D7%A7%D7%9C%D7%98%D7%99%D7%9D/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kfar Shmaryahu,Hebrew,2025-02-06T00:22:00Z,http://www.kfar-shemaryahu.muni.il/?CategoryID=519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
